doi,stable_name,paradigm_subcategory,paradigm_facets
10.1007/s44443-025-00449-w,10_1007_s44443_025_00449_w,hybrid_quantum_classical,hybrid_quantum_classical
10.1016/j.aej.2023.09.008,10_1016_j_aej_2023_09_008,frqi,frqi
10.1016/j.aej.2025.12.007,10_1016_j_aej_2025_12_007,hybrid_quantum_classical,hybrid_quantum_classical
10.1016/j.artmed.2025.103322,10_1016_j_artmed_2025_103322,hybrid_quantum_classical,hybrid_quantum_classical
10.1016/j.asoc.2024.111781,10_1016_j_asoc_2024_111781,quantum_kernel,quantum_kernel
10.1016/j.asoc.2025.113631,10_1016_j_asoc_2025_113631,hybrid_quantum_classical,hybrid_quantum_classical
10.1016/j.bspc.2023.105560,10_1016_j_bspc_2023_105560,hybrid_quantum_classical,hybrid_quantum_classical
10.1016/j.bspc.2026.110251,10_1016_j_bspc_2026_110251,qml,qml
10.1016/j.cmpb.2026.109362,10_1016_j_cmpb_2026_109362,hybrid_quantum_classical,hybrid_quantum_classical
10.1016/j.compbiomed.2025.110941,10_1016_j_compbiomed_2025_110941,qml,qml
10.1016/j.compbiomed.2026.111633,10_1016_j_compbiomed_2026_111633,hybrid_quantum_classical,hybrid_quantum_classical
10.1016/j.eij.2026.100901,10_1016_j_eij_2026_100901,hybrid_quantum_classical,hybrid_quantum_classical
10.1016/j.engappai.2025.111938,10_1016_j_engappai_2025_111938,hybrid_quantum_classical,hybrid_quantum_classical
10.1016/j.ijrobp.2026.03.010,10_1016_j_ijrobp_2026_03_010,hybrid_quantum_classical,hybrid_quantum_classical
10.1016/j.inffus.2023.101913,10_1016_j_inffus_2023_101913,hybrid_quantum_classical,hybrid_quantum_classical
10.1016/j.jestch.2025.102272,10_1016_j_jestch_2025_102272,hybrid_quantum_classical,hybrid_quantum_classical
10.1016/j.jestch.2026.102386,10_1016_j_jestch_2026_102386,quantum_kernel,quantum_kernel
10.1016/j.jrras.2026.102165,10_1016_j_jrras_2026_102165,hybrid_quantum_classical,hybrid_quantum_classical
10.1016/j.knosys.2023.110413,10_1016_j_knosys_2023_110413,hybrid_quantum_classical,hybrid_quantum_classical
10.1016/j.knosys.2024.112922,10_1016_j_knosys_2024_112922,hybrid_quantum_classical,hybrid_quantum_classical
10.1016/j.mex.2025.103185,10_1016_j_mex_2025_103185,hybrid_quantum_classical,hybrid_quantum_classical
10.1016/j.mex.2025.103605,10_1016_j_mex_2025_103605,hybrid_quantum_classical,hybrid_quantum_classical
10.1016/j.neucom.2023.01.049,10_1016_j_neucom_2023_01_049,qml,qml
10.1016/j.neucom.2025.131410,10_1016_j_neucom_2025_131410,hybrid_quantum_classical,hybrid_quantum_classical
10.1016/j.patter.2025.101236,10_1016_j_patter_2025_101236,qml,qml
10.1016/j.radphyschem.2025.113545,10_1016_j_radphyschem_2025_113545,qml,qml
10.1016/j.softx.2026.102621,10_1016_j_softx_2026_102621,qml,qml
10.1038/s41585-025-01058-y,10_1038_s41585_025_01058_y,quantum_kernel,quantum_kernel
10.1038/s41598-022-25280-5,10_1038_s41598_022_25280_5,qml,qml
10.1038/s41598-023-41700-6,10_1038_s41598_023_41700_6,qaoa,qaoa
10.1038/s41598-024-61452-1,10_1038_s41598_024_61452_1,quantum_kernel,quantum_kernel
10.1038/s41598-025-08453-w,10_1038_s41598_025_08453_w,annealing,annealing
10.1038/s41598-025-14611-x,10_1038_s41598_025_14611_x,annealing,annealing
10.1038/s41598-025-17075-1,10_1038_s41598_025_17075_1,hybrid_quantum_classical,hybrid_quantum_classical
10.1038/s41598-025-24168-4,10_1038_s41598_025_24168_4,quantum_image_representation,quantum_image_representation
10.1038/s41598-025-31122-x,10_1038_s41598_025_31122_x,hybrid_quantum_classical,hybrid_quantum_classical
10.1038/s41598-025-93552-x,10_1038_s41598_025_93552_x,annealing,annealing
10.1038/s41598-026-35540-3,10_1038_s41598_026_35540_3,hybrid_quantum_classical,hybrid_quantum_classical
10.1038/s41598-026-35605-3,10_1038_s41598_026_35605_3,qml,qml
10.1038/s41598-026-35951-2,10_1038_s41598_026_35951_2,hybrid_quantum_classical,hybrid_quantum_classical
10.1038/s41598-026-38063-z,10_1038_s41598_026_38063_z,hybrid_quantum_classical,hybrid_quantum_classical
10.1038/s41598-026-40127-z,10_1038_s41598_026_40127_z,hybrid_quantum_classical,hybrid_quantum_classical
10.1038/s41598-026-42047-4,10_1038_s41598_026_42047_4,hybrid_quantum_classical,hybrid_quantum_classical
10.1038/s41598-026-49227-2,10_1038_s41598_026_49227_2,hybrid_quantum_classical,hybrid_quantum_classical
10.1038/s41598-026-51130-9,10_1038_s41598_026_51130_9,hybrid_quantum_classical,hybrid_quantum_classical
10.1038/s41598-026-51942-9,10_1038_s41598_026_51942_9,quantum_kernel,quantum_kernel
10.1038/s43588-022-00351-9,10_1038_s43588_022_00351_9,qml,qml
10.1049/qtc2.12078,10_1049_qtc2_12078,quantum_kernel,quantum_kernel
10.1049/qtc2.70010,10_1049_qtc2_70010,hybrid_quantum_classical,hybrid_quantum_classical
10.1063/5.0261878,10_1063_5_0261878,qaoa,qaoa
10.1080/00207454.2026.2656322,10_1080_00207454_2026_2656322,hybrid_quantum_classical,hybrid_quantum_classical
10.1088/1361-6560/ae48aa,10_1088_1361_6560_ae48aa,hybrid_quantum_classical,hybrid_quantum_classical
10.1088/1402-4896/ae20d5,10_1088_1402_4896_ae20d5,quantum_image_representation,quantum_image_representation; quantum_physics_phenomenon
10.1088/2058-9565/acfc61,10_1088_2058_9565_acfc61,hybrid_quantum_classical,hybrid_quantum_classical
10.1088/2058-9565/adbcd1,10_1088_2058_9565_adbcd1,hybrid_quantum_classical,hybrid_quantum_classical
10.1088/2058-9565/ae24a8,10_1088_2058_9565_ae24a8,hybrid_quantum_classical,hybrid_quantum_classical
10.1088/2632-2153/acffa3,10_1088_2632_2153_acffa3,qml,qml
10.1088/2632-2153/ad2aef,10_1088_2632_2153_ad2aef,hybrid_quantum_classical,hybrid_quantum_classical
10.1088/2632-2153/ad8c11,10_1088_2632_2153_ad8c11,qml,qml
10.1088/2632-2153/add1a9,10_1088_2632_2153_add1a9,hybrid_quantum_classical,hybrid_quantum_classical
10.1093/jcde/qwac003,10_1093_jcde_qwac003,hybrid_quantum_classical,hybrid_quantum_classical
10.1103/physrevresearch.6.l042060,10_1103_physrevresearch_6_l042060,quantum_kernel,quantum_kernel
10.1109/access.2022.3195044,10_1109_access_2022_3195044,qml,qml
10.1109/access.2024.3360139,10_1109_access_2024_3360139,hybrid_quantum_classical,hybrid_quantum_classical
10.1109/access.2024.3434681,10_1109_access_2024_3434681,hybrid_quantum_classical,hybrid_quantum_classical
10.1109/access.2025.3531407,10_1109_access_2025_3531407,hybrid_quantum_classical,hybrid_quantum_classical
10.1109/access.2025.3542807,10_1109_access_2025_3542807,hybrid_quantum_classical,hybrid_quantum_classical
10.1109/access.2025.3581030,10_1109_access_2025_3581030,hybrid_quantum_classical,hybrid_quantum_classical
10.1109/access.2025.3599679,10_1109_access_2025_3599679,hybrid_quantum_classical,hybrid_quantum_classical
10.1109/access.2025.3608217,10_1109_access_2025_3608217,hybrid_quantum_classical,hybrid_quantum_classical
10.1109/access.2025.3625205,10_1109_access_2025_3625205,hybrid_quantum_classical,hybrid_quantum_classical
10.1109/access.2025.3627877,10_1109_access_2025_3627877,hybrid_quantum_classical,hybrid_quantum_classical
10.1109/access.2025.3638383,10_1109_access_2025_3638383,hybrid_quantum_classical,hybrid_quantum_classical
10.1109/access.2025.3639179,10_1109_access_2025_3639179,hybrid_quantum_classical,hybrid_quantum_classical
10.1109/access.2026.3663498,10_1109_access_2026_3663498,qml,qml
10.1109/access.2026.3669206,10_1109_access_2026_3669206,hybrid_quantum_classical,hybrid_quantum_classical
10.1109/access.2026.3677204,10_1109_access_2026_3677204,hybrid_quantum_classical,hybrid_quantum_classical
10.1109/access.2026.3683415,10_1109_access_2026_3683415,hybrid_quantum_classical,hybrid_quantum_classical
10.1109/access.2026.3686925,10_1109_access_2026_3686925,quantum_arithmetic_logic,quantum_arithmetic_logic
10.1109/jbhi.2025.3596156,10_1109_jbhi_2025_3596156,qml,qml
10.1109/jbhi.2025.3610855,10_1109_jbhi_2025_3610855,hybrid_quantum_classical,hybrid_quantum_classical
10.1109/jiot.2025.3537614,10_1109_jiot_2025_3537614,qml,qml
10.1109/jiot.2025.3586090,10_1109_jiot_2025_3586090,qml,qml
10.1109/tce.2024.3351649,10_1109_tce_2024_3351649,vqe,vqe
10.1109/tce.2025.3548303,10_1109_tce_2025_3548303,qml,qml
10.1109/tnsre.2024.3385336,10_1109_tnsre_2024_3385336,hybrid_quantum_classical,hybrid_quantum_classical
10.1109/tqe.2025.3618295,10_1109_tqe_2025_3618295,annealing,annealing
10.1109/tqe.2026.3681530,10_1109_tqe_2026_3681530,annealing,annealing; quantum_image_representation
10.1117/12.3085665,10_1117_12_3085665,quantum_kernel,quantum_kernel
10.1140/epjp/s13360-025-07148-5,10_1140_epjp_s13360_025_07148_5,hybrid_quantum_classical,hybrid_quantum_classical
10.1140/epjqt/s40507-026-00500-3,10_1140_epjqt_s40507_026_00500_3,hybrid_quantum_classical,hybrid_quantum_classical
10.1142/s1469026825500105,10_1142_s1469026825500105,hybrid_quantum_classical,hybrid_quantum_classical
10.1155/2022/3236305,10_1155_2022_3236305,qml,qml
10.1155/acis/1176614,10_1155_acis_1176614,qml,qml
10.1177/15330338231215214,10_1177_15330338231215214,qml,qml
10.1186/s12880-023-01084-5,10_1186_s12880_023_01084_5,hybrid_quantum_classical,hybrid_quantum_classical
10.1186/s12880-025-01813-y,10_1186_s12880_025_01813_y,qml,qml
10.1186/s12911-021-01588-6,10_1186_s12911_021_01588_6,hybrid_quantum_classical,hybrid_quantum_classical
10.1371/journal.pone.0331870,10_1371_journal_pone_0331870,hybrid_quantum_classical,hybrid_quantum_classical
10.18280/ts.420531,10_18280_ts_420531,frqi,frqi
10.2174/0115734056317489240808094924,10_2174_0115734056317489240808094924,hybrid_quantum_classical,hybrid_quantum_classical
10.22331/q-2022-12-22-881,10_22331_q_2022_12_22_881,hybrid_quantum_classical,hybrid_quantum_classical
10.3389/fdgth.2023.1283726,10_3389_fdgth_2023_1283726,quantum_image_representation,quantum_image_representation
10.3389/fmed.2025.1677234,10_3389_fmed_2025_1677234,hybrid_quantum_classical,hybrid_quantum_classical
10.3389/fonc.2025.1553539,10_3389_fonc_2025_1553539,quantum_image_representation,quantum_image_representation; quantum_inspired
10.3389/fphy.2022.1046314,10_3389_fphy_2022_1046314,qml,qml
10.3389/fphy.2023.1212373,10_3389_fphy_2023_1212373,hybrid_quantum_classical,hybrid_quantum_classical
10.3389/fpsyt.2025.1648060,10_3389_fpsyt_2025_1648060,hybrid_quantum_classical,hybrid_quantum_classical
10.3389/frai.2026.1807209,10_3389_frai_2026_1807209,hybrid_quantum_classical,hybrid_quantum_classical
10.3390/a19040279,10_3390_a19040279,quantum_kernel,quantum_kernel
10.3390/ai6020036,10_3390_ai6020036,hybrid_quantum_classical,hybrid_quantum_classical
10.3390/app13064009,10_3390_app13064009,quantum_image_representation,quantum_image_representation
10.3390/bdcc10010012,10_3390_bdcc10010012,hybrid_quantum_classical,hybrid_quantum_classical
10.3390/bioengineering11080799,10_3390_bioengineering11080799,hybrid_quantum_classical,hybrid_quantum_classical
10.3390/bioengineering12040326,10_3390_bioengineering12040326,quantum_kernel,quantum_kernel
10.3390/biom12111576,10_3390_biom12111576,quantum_kernel,quantum_kernel
10.3390/biomedinformatics5030051,10_3390_biomedinformatics5030051,hybrid_quantum_classical,hybrid_quantum_classical
10.3390/brainsci14040401,10_3390_brainsci14040401,qml,qml
10.3390/computation13120278,10_3390_computation13120278,hybrid_quantum_classical,hybrid_quantum_classical
10.3390/diagnostics14050558,10_3390_diagnostics14050558,hybrid_quantum_classical,hybrid_quantum_classical
10.3390/electronics11050721,10_3390_electronics11050721,hybrid_quantum_classical,hybrid_quantum_classical
10.3390/jimaging9070128,10_3390_jimaging9070128,hybrid_quantum_classical,hybrid_quantum_classical
10.3390/jimaging9100221,10_3390_jimaging9100221,hybrid_quantum_classical,hybrid_quantum_classical
10.3390/life15071124,10_3390_life15071124,hybrid_quantum_classical,hybrid_quantum_classical
10.3390/medsci12040067,10_3390_medsci12040067,qml,qml
10.3934/math.2025499,10_3934_math_2025499,quantum_image_representation,quantum_image_representation; quantum_inspired
10.4018/ijehmc.321149,10_4018_ijehmc_321149,qml,qml
10.56042/jsir.v84i1.14112,10_56042_jsir_v84i1_14112,hybrid_quantum_classical,hybrid_quantum_classical
10.62347/wohq8174,10_62347_wohq8174,hybrid_quantum_classical,hybrid_quantum_classical
10.7717/peerj-cs.3387,10_7717_peerj_cs_3387,hybrid_quantum_classical,hybrid_quantum_classical
10.7759/cureus.67486,10_7759_cureus_67486,qml,qml
