stable_name,field,verdict,figure_only,flag,extraction_value,si_value,quote,supp_source,occurrences,note
10_3390_computation13120278,performance_metrics_quantum,appends_extra,False,review,DermaMNIST accuracy (LCNet050 hybrid)=0.6125; DermaMNIST accuracy (LCNet075 hybrid)=0.6377; DermaMNIST macro-AUC (LCNet050 hybrid)=0.8647; DermaMNIST micro-AUC (LCNet050 hybrid)=0.9080; DermaMNIST mac,CIFAR-10 micro-AUC (LCNet050 hybrid)=0.9576,0.957638,cifar10-full-q5-w4-lcnet050-mb1-batch-64-trial11-2.ipynb,1,
10_3390_jimaging9070128,performance_metrics_quantum,appends_extra,False,review,"AUC=0.923 [0.912, 0.935] (F-Dnet-P-4q, 10-fold CV); Accuracy=0.862 [0.852, 0.872] (F-Dnet-P-4q); Balanced Accuracy=0.860 [0.849, 0.871] (F-Dnet-P-4q); AUC=0.901 [0.886, 0.915] (F-Dnet-Q-4q-2D); Accura","{""metric_name"": ""AUC"", ""model"": ""F-Dnet-P-8q"", ""value"": ""0.936""}",F-Dnet-P-8q         0.936     0.858,final_models_results_metrics_roc_cxr_paper.ipynb,1,
10_3390_jimaging9100221,shot_count,fills_blank,False,review,not_reported,1000 (num_reads),num_reads=1000,example_tomo_bqm.ipynb,1,
10_7717_peerj_cs_3387,performance_metrics_quantum,appends_extra,False,review,accuracy=0.98; precision=0.99; sensitivity=0.97; specificity=0.98; accuracy=98; precision (ICHDR)=98; F1-score (ICHDR)=95; precision (HMS)=96; F1-score (HMS)=98; precision (ADNI)=97; F1-score (ADNI)=9,accuracy (Quantum SVC)=0.97,0.9740932642487047,Alzhimers_SA.ipynb,1,
10_7717_peerj_cs_3387,simulator_framework,fills_blank,False,review,,Qiskit,from qiskit import QuantumCircuit,Alzhimers_SA.ipynb,1,
10_1007_s00259_023_06362_6,data_release,contradicts,False,review:extraction_vs_si_disagreement,FALSE,True,https://osf.io/3nkx8/,README.md,1,"extraction=false, supplement README provides a public OSF link to the anonymized radiomic dataset"
10_1007_s00259_023_06362_6,hardware_vendor,contradicts,False,review:extraction_vs_si_disagreement,21-qubit IonQ Aria quantum computer,11-qubit IonQ quantum device,for the 11-qubit IonQ quantum device,distance classifier for data with IonQ simulator and real device.ipynb,1,"extraction=21-qubit IonQ Aria quantum computer, supplement notebook comment names an 11-qubit IonQ quantum device"
10_1007_s11760_023_02857_9,code_release,contradicts,False,review:extraction_vs_si_disagreement,FALSE,True,Matlab Code for Quantum Image Processing,11760_2023_2857_MOESM1_ESM.docx,1,"extraction=false, supplement appendix contains full MATLAB source code (NEQR, hill_entropy, EdgeDetector_procedure functions)"
10_1016_j_artmed_2025_103322,image_encoding,contradicts,False,review:extraction_vs_si_disagreement,amplitude,angle,"qml.AngleEmbedding(inputs, wires=range(self.n_qubits), rotation='Y')",02_QENN.ipynb,1,"extraction=amplitude, but the notebook encodes inputs with qml.AngleEmbedding (angle/rotation encoding)"
10_1016_j_artmed_2025_103322,simulator_framework,contradicts,False,review:extraction_vs_si_disagreement,Qiskit_Aer,PennyLane (default.qubit),import pennylane as qml,02_QENN.ipynb,1,"extraction=Qiskit_Aer, but the supplied quantum-model notebook implements and simulates the circuit with PennyLane's default.qubit device"
10_1016_j_engappai_2025_111938,sample_size_justification_reported,contradicts,False,review:extraction_vs_si_disagreement,FALSE,True,"Thus, a minimum of 827 samples is required for this study of interest.",1-s2.0-S0952197625019402-mmc1.docx,1,"extraction=FALSE, supplement provides an explicit sample size calculation concluding a minimum of 827 samples is required."
10_1016_j_inffus_2023_101913,code_release,contradicts,False,review:extraction_vs_si_disagreement,FALSE,True,It has been uploaded.,README.md,1,"extraction=false, supplement is the QNMF code repository (git config plus README stating the QCNN code has been uploaded)"
10_1016_j_knosys_2023_110413,image_encoding,contradicts,False,review:extraction_vs_si_disagreement,amplitude,angle,"qc.u3(theta_list[0], phi_list[0], 0, qreg[0])",Explainable Quantum Clusteirng.ipynb,1,"extraction=amplitude, supplement encodes feature values as u3 rotation angles (theta/phi) = angle encoding"
10_1038_s41598_023_41700_6,paradigm,contradicts,False,review:extraction_vs_si_disagreement,QAOA,quantum annealing (QUBO),"sampleset = sampler_auto.sample_qubo(Q, num_reads=100)",ax_b.ipynb,1,"extraction=QAOA, supplement implements QUBO solved on a D-Wave quantum annealer (annealing paradigm), with no QAOA/gate-based ansatz"
10_1038_s41598_023_41700_6,qubit_count,contradicts,False,review:extraction_vs_si_disagreement,"10,000 qubits",169,Total qubit numbers: 169,Readme.md,1,"extraction=10,000 qubits, supplement Shepp-Logan case states Total qubit numbers: 169 (and '10,000' appears in the supplement as shots, not qubits), so the extracted qubit count is suspect"
10_1038_s41598_023_41700_6,shot_count,contradicts,False,review:extraction_vs_si_disagreement,1000 annealings,"10,000 shots","10,000 shots for each time",Readme.md,1,"extraction=1000 annealings, supplement QPU run states 10,000 shots for each time"
10_1038_s41598_026_35605_3,data_identifier,contradicts,False,review:extraction_vs_si_disagreement,https://medmnist.com/,https://zenodo.org/records/15058309,available at &lt;https://zenodo.org/records/15058309&gt;,README.md,1,"extraction=https://medmnist.com/, supplement=https://zenodo.org/records/15058309 (Zenodo record hosting the MedMNIST files used for training/testing)"
10_1038_s41598_026_38063_z,code_url,contradicts,False,review:extraction_vs_si_disagreement,https://doi.org/10.5281/zenodo.18362397,https://github.com/mikiluque/Hybrid-QNN-for-Fundus-Images,https://github.com/mikiluque/Hybrid-QNN-for-Fundus-Images,README.md,1,"extraction=https://doi.org/10.5281/zenodo.18362397, supplement README gives GitHub repo https://github.com/mikiluque/Hybrid-QNN-for-Fundus-Images"
10_1038_s43588_022_00351_9,weights_release,contradicts,False,review:extraction_vs_si_disagreement,FALSE,True,"trained_params = reshape(var1[""thetas""],(260,));",demo2_QNN_adversarial_learning.ipynb,1,"extraction=false, but the supplement notebook loads released trained model parameters (var3[""theta""] and var1[""thetas""] reshaped to the 260 trained weights)"
10_1109_tce_2024_3351649,paradigm,contradicts,False,review:extraction_vs_si_disagreement,VQE,VQC,Variational Quantum Classifiers (VQC),README.MD,1,"extraction=VQE, supplement=VQC (Variational Quantum Classifier)"
10_1371_journal_pone_0331870,simulator_framework,contradicts,False,review:extraction_vs_si_disagreement,Qiskit_Aer; Qiskit_Aer,Qiskit primitives (StatevectorEstimator),from qiskit.primitives import StatevectorEstimator as Estimator,oasis-2-sagittal-2qubits-r5.ipynb,1,"extraction=Qiskit_Aer, but the released notebooks import no Aer and simulate via qiskit.primitives StatevectorEstimator"
10_1371_journal_pone_0331870,simulator_framework,contradicts,False,review:extraction_vs_si_disagreement,Qiskit_Aer; Qiskit_Aer,Qiskit primitives StatevectorEstimator,from qiskit.primitives import StatevectorEstimator as Estimator,oasis-2-sagittal-ss-3qubits.ipynb,1,"extraction=Qiskit_Aer, supplement notebooks import StatevectorEstimator from qiskit.primitives (statevector primitive), not Qiskit Aer"
10_3390_jimaging9070128,circuit_depth,contradicts,False,review:extraction_vs_si_disagreement,quantum depth of 4,quantum depth of 6,q_depth = 6,init_freezer - P8qubit.ipynb,2,"extraction=quantum depth of 4, supplement 8-qubit and 10-qubit notebooks set q_depth = 6"
10_3390_jimaging9070128,circuit_depth,contradicts,False,review:extraction_vs_si_disagreement,quantum depth of 4,q_depth 6 (Depth of the quantum circuit / number of variational layers),q_depth = 6,generate_plot.ipynb,1,"extraction=quantum depth of 4, supplement=q_depth=6 labelled as depth of the quantum circuit (number of variational layers)"
10_3390_jimaging9070128,circuit_depth,contradicts,False,review:extraction_vs_si_disagreement,quantum depth of 4,q_depth = 6 (number of variational layers),q_depth = 6,no freezer.ipynb,1,"extraction=quantum depth of 4, supplement code sets q_depth=6 commented as 'Depth of the quantum circuit (number of variational layers)'"
10_7717_peerj_cs_3387,image_encoding,contradicts,False,review:extraction_vs_si_disagreement,amplitude,ZZFeatureMap (angle/Pauli-Z encoding),"feature_map = ZZFeatureMap(feature_dimension=X_train.shape[1], reps=2, entanglement='full')",Alzhimers_SA.ipynb,1,"extraction=amplitude, but the notebook encodes features via a ZZFeatureMap (angle/Pauli-Z encoding), not amplitude encoding"
10_1007_s11760_023_02857_9,error_mitigation_strategy,confirms,True,review:figure_only_unverified,"neural network-based hybrid filter, comprising neural edge enhancers and bilateral filters, used as a fusion operator to eliminate quantum noise from the output image",,,11760_2023_2857_MOESM1_ESM.docx_image2.jpeg,1,
10_1016_j_ijrobp_2026_03_010,explainability_mechanism,confirms,True,review:figure_only_unverified,classical_XAI,classical_XAI,,mmc1.docx_image2.png,1,
10_1016_j_ijrobp_2026_03_010,explainability_method_name,confirms,True,review:figure_only_unverified,Grad-CAM; SHAP (Shapley Additive Explanation); t-SNE (t-distributed stochastic neighbor embedding),SHAP (Shapley Additive Explanation),,mmc1.docx_image2.png,1,
10_1038_s43588_022_00351_9,ansatz_family,confirms,True,review:figure_only_unverified,blocks of single-qubit rotational gates followed by two layers of CNOT gates,blocks of single-qubit rotational gates followed by two layers of CNOT gates,,fig2.pdf p1,1,
10_1038_s43588_022_00351_9,qubit_count,confirms,True,review:figure_only_unverified,ten qubits,ten qubits,,fig3.pdf p1,1,
10_1371_journal_pone_0331870,paradigm,confirms,True,review:figure_only_unverified,hybrid_quantum_classical,hybrid_quantum_classical,,Fig5.pdf p1,1,
10_1088_2058_9565_ae24a8,shot_count,fills_blank,False,review:unparseable_number,not_reported,"None (analytical simulator, shots=None)",shots=None,qcnn_res-tiny4.ipynb,1,
